Using the result of 'hadoop classpath' to augment the Hadoop classpath: /usr/local/hadoop/etc/hadoop:/usr/local/hadoop/share/hadoop/common/lib/*:/usr/local/hadoop/share/hadoop/common/*:/usr/local/hadoop/share/hadoop/hdfs:/usr/local/hadoop/share/hadoop/hdfs/lib/*:/usr/local/hadoop/share/hadoop/hdfs/*:/usr/local/hadoop/share/hadoop/yarn:/usr/local/hadoop/share/hadoop/yarn/lib/*:/usr/local/hadoop/share/hadoop/yarn/*:/usr/local/hadoop/share/hadoop/mapreduce/lib/*:/usr/local/hadoop/share/hadoop/mapreduce/*:/usr/local/hadoop/contrib/capacity-scheduler/*.jar
Cluster configuration: Standalone cluster with JobManager at localhost/127.0.0.1:6123
Using address localhost:6123 to connect to JobManager.
JobManager web interface address http://localhost:8081
Starting execution of program
Submitting job with JobID: 75d4cb4c473ffb4dbc1124ebe1973139. Waiting for job completion.
Connected to JobManager at Actor[akka.tcp://flink@localhost:6123/user/jobmanager#1284012604] with leader session id 00000000-0000-0000-0000-000000000000.
05/22/2018 13:52:40	Job execution switched to status RUNNING.
05/22/2018 13:52:40	CHAIN DataSource (at main(TopThreeAirports.java:24) (org.apache.flink.api.java.io.TupleCsvInputFormat)) -> Combine (Distinct at main(TopThreeAirports.java:28))(1/1) switched to SCHEDULED 
05/22/2018 13:52:40	CHAIN DataSource (at main(TopThreeAirports.java:24) (org.apache.flink.api.java.io.TupleCsvInputFormat)) -> Combine (Distinct at main(TopThreeAirports.java:28))(1/1) switched to DEPLOYING 
05/22/2018 13:52:40	CHAIN DataSource (at main(TopThreeAirports.java:24) (org.apache.flink.api.java.io.TupleCsvInputFormat)) -> Combine (Distinct at main(TopThreeAirports.java:28))(1/1) switched to RUNNING 
05/22/2018 13:52:40	Reduce (Distinct at main(TopThreeAirports.java:28))(1/1) switched to SCHEDULED 
05/22/2018 13:52:40	Reduce (Distinct at main(TopThreeAirports.java:28))(1/1) switched to DEPLOYING 
05/22/2018 13:52:40	Reduce (Distinct at main(TopThreeAirports.java:28))(1/1) switched to RUNNING 
05/22/2018 13:52:40	CHAIN DataSource (at main(TopThreeAirports.java:24) (org.apache.flink.api.java.io.TupleCsvInputFormat)) -> Combine (Distinct at main(TopThreeAirports.java:28))(1/1) switched to FINISHED 
05/22/2018 13:52:41	DataSink (collect())(1/1) switched to SCHEDULED 
05/22/2018 13:52:41	DataSink (collect())(1/1) switched to DEPLOYING 
05/22/2018 13:52:41	DataSink (collect())(1/1) switched to RUNNING 
05/22/2018 13:52:41	Reduce (Distinct at main(TopThreeAirports.java:28))(1/1) switched to FINISHED 
05/22/2018 13:52:41	DataSink (collect())(1/1) switched to FINISHED 
05/22/2018 13:52:41	Job execution switched to status FINISHED.
("Baton Rouge Metropolitan, Ryan ",Baton Rouge)
("Dr. C.P. Savage, Sr.",Montezuma)
("Lawrence County Airpark,Inc",Chesapeake)
("Reading Muni,Gen Carl A Spaatz",Reading)
("Richard Lloyd Jones, Jr.",Tulsa)
("Toccoa, R G Le Tourneau ",Toccoa)
("Union County, Troy Shelton ",Union)
("W. H. \Bud\"" Barron """,Dublin,GA)
(Abbeville Chris Crusta Memorial,Abbeville,LA)
(Abbeville Municipal,Abbeville,AL)
(Aberdeen Municipal,Aberdeen,ID)
(Aberdeen Regional,Aberdeen,SD)
(Abernathy ,Pulaski,TN)
(Abilene Municipal,Abilene.,KS)
(Abilene Regional,Abilene,TX)
(Abrams Municipal,Grandledge,MI)
(Acadiana Regional,New Iberia,LA)
(Accomack County,Melfa,VA)
(Ackerman-Choctaw County,Ackerman,MS)
(Ada Municipal,Ada,OK)
(Adak,Adak,AK)
(Adams ,Little Rock,AR)
(Adams County Legion ,Adams/Friendship,WI)
(Addison,Dallas/Addison,TX)
(Adirondack,Saranac Lake,NY)
(Afton Municipal,Afton,WY)
(Agua Dulce Airpark,Agua Dulce,CA)
(Aiken Municipal,Aiken,SC)
(Ainsworth Municipal,Ainsworth,NE)
(Airglades,Clewiston,FL)
(Airlake ,Minneapolis,MN)
(Aitkin Municipal,Aitkin,MN)
(Ajo Municipal,Ajo,AZ)
(Akhiok,Akhiok,AK)
(Akiachak,Akiachak,AK)
(Akiak,Akiak,AK)
(Akron,Akron,NY)
(Akron Fulton Intl.,Akron,OH)
(Akron-Canton Regional,Akron,OH)
(Akron-Washington Co,Akron,CO)
(Akutan SPB,Akutan,AK)
(Alakanuk,Alakanuk,AK)
(Alamo Landing ,Alamo,NV)
(Alamogordo-White Sands Regional,Alamogordo,NM)
(Albany Cty,Albany,NY)
(Albany Municipal,Albany,OR)
(Albert J Ellis,Jacksonville,NC)
(Albert Lea Municipal,Albert Lea,MN)
(Albert Whitted Municipal ,St. Petersburg,FL)
(Albertus,Freeport,IL)
(Albertville Municipal ,Albertville,AL)
(Albia Municipal,Albia,IA)
(Albion Municipal,Albion,NE)
(Albuquerque International,Albuquerque,NM)
(Aleknagik,Aleknagik,AK)
(Alexander ,Wisconsin Rapids,WI)
(Alexander Municipal,Belen,NM)
(Alexander Salamon,West Union,OH)
(Alexandria ,Pittstown,NJ)
(Alexandria International,Alexandria,LA)
(Algona Municipal,Algona,IA)
(Alice International,Alice,TX)
(Allaire Arpt,Belmar/Farmingdale,NJ)
(Allakaket,Allakaket,AK)
(Allegheny Cty,Pittsburgh,PA)
(Allen AAF,Delta Junction,AK)
(Allen County,Iola,KS)
(Allen County,Lima,OH)
(Allen Parish,Oakdale,LA)
(Allendale County,Allendale,SC)
(Allentown Queen City Muni,Allentown,PA)
(Alliance Municipal,Alliance,NE)
(Alma Municipal,Alma,NE)
(Almyra Municipal,Almyra,AR)
(Alpena County Regional ,Alpena,MI)
(Alpine-Casparis Municipal,Alpine,TX)
(Altoona-Blair Cty,Altoona,PA)
(Alturas Municipal,Alturas,CA)
(Altus Municipal,Altus,OK)
(Alva Regional,Alva,OK)
(Amarillo International,Amarillo,TX)
(Ambler,Ambler,AK)
(Amelia Earhart,Atchison,KS)
(Amery Municipal,Amery,WI)
(Ames Municipal,Ames,IA)
(Anacortes,Anacortes,WA)
(Anaktuvuk Pass,Anaktuvuk Pass,AK)
(Andalusia,Andalusia,AL)
(Anderson ,Brewster,WA)
(Anderson County,Anderson,SC)
(Anderson Municipal,Anderson,IN)
(Andrews County,Andrews,TX)
(Andrews Municipal,Andrews,SC)
(Andrews-Murphy,Andrews,NC)
(Angel Fire,Angel Fire,NM)
(Angola ,Angola,NY)
(Angoon SPB,Angoon,AK)
(Angwin-Parrett ,Angwin,CA)
(Aniak,Aniak,AK)
(Ankeny Regional,Ankeny,IA)
(Ann Arbor Municipal,Ann Arbor,MI)
(Anniston Metropolitan,Anniston,AL)
(Anoka County,Minneapolis,MN)
(Anson County,Wadesboro,NC)
(Antelope County,Neligh,NE)
(Anthony Municipal,Anthony,KS)
(Antlers Municipal,Antlers,OK)
(Antonio (Nery) Juarbe Pol,Arecibo,PR)
(Antonio Rivera Rodriguez,Isla De Vieques,PR)
(Antrim County,Bellaire,MI)
(Anvik,Anvik,AK)
(Apalachicola Municipal,Apalachicola,FL)
(Apple Valley,Apple Valley,CA)
(Aransas County,Rockport,TX)
(Arcadia Municipal,Arcadia,FL)
(Arcata,Arcata/Eureka,CA)
(Arco-Butte County,Arco,ID)
(Arctic Village,Arctic Village,AK)
(Ardmore Municipal,Ardmore,OK)
(Arens ,Winamac,IN)
(Arledge ,Stamford,TX)
(Arlington Municipal,Arlington,TX)
(Arlington Municipal,Arlington,WA)
(Arnold Palmer Regional,Latrobe,PA)
(Arrowhead,Canadian,OK)
(Artesia Municipal,Artesia,NM)
(Arthur Dunn Airpark,Titusville,FL)
(Arthur N Neu,Carroll,IA)
(Ashe County,West Jefferson,NC)
(Asheboro Municipal,Asheboro,NC)
(Asheville Regional,Asheville,NC)
(Ashland County,Ashland,OH)
(Ashland Muni-Sumner Parker ,Ashland,OR)
(Ashland-Boyd County,Ashland,KY)
(Ashland/Lineville,Ashland/Lineville,AL)
(Ashtabula County,Ashtabula,OH)
(Aspen-Pitkin Co/Sardy ,Aspen,CO)
(Astoria Regional,Astoria,OR)
(Athens Jones Municipal,Athens,TX)
(Athens Municipal,Athens,GA)
(Atka,Atka,AK)
(Atkinson Municipal,Pittsburg,KS)
(Atlanta Municipal,Atlanta,MI)
(Atlantic City International,Atlantic City,NJ)
(Atlantic City Municipal,Atlantic City,NJ)
(Atlantic Municipal,Atlantic,IA)
(Atmautluak,Atmautluak,AK)
(Atmore Municipal,Atmore,AL)
(Atoka Municipal,Atoka,OK)
(Atqasuk,Atqasuk,AK)
(Atwood-Rawlins County City-County,Atwood,KS)
(Auburn Municipal,Auburn,CA)
